trial,best_hyperv,best_front_percents,time_to_optimum
1,3.641304347826087,100.0,0
2,3.641304347826087,100.0,0
3,3.641304347826087,100.0,0
4,3.641304347826087,100.0,0
5,3.641304347826087,100.0,0
6,3.641304347826087,100.0,0
7,3.641304347826087,100.0,0
8,3.641304347826087,100.0,0
9,3.641304347826087,100.0,0
10,3.641304347826087,100.0,0
11,3.641304347826087,100.0,0
12,3.641304347826087,100.0,0
13,3.641304347826087,100.0,0
14,3.641304347826087,100.0,0
15,3.641304347826087,100.0,0
16,3.641304347826087,100.0,0
17,3.641304347826087,100.0,0
18,3.641304347826087,100.0,0
19,3.641304347826087,100.0,0
20,3.641304347826087,100.0,0
